Rank,Title,Score,Format,Date,Viewers,Studio,Genres,Source,Rating,Recommendation,Details,Prequel,Sequel,Samurai,Demons,Sports,Harem,Cars,Drama,Adventure,Suspense,Josei,Game,Space,Mystery,Horror,Shounen,Super Power,Music,Vampire,Boys Love,Military,Action,Romance,Slice of Life,Fantasy,Gourmet,Parody,Martial Arts,Ecchi,Sci-Fi,Seinen,Mecha,Avant Garde,School,Supernatural,Historical,Girls Love,Shoujo,Kids,Psychological,Police,Comedy,Media,Episodes
1,Death Note,8.63,TV (37 eps),Oct 2006 - Jun 2007,"3,090,777",Madhouse,"['Mystery', 'Supernatural', 'Suspense', 'Police', 'Psychological', 'Shounen']",Manga,R - 17+ (violence & profanity),Code Geass: Hangyaku no Lelouch,"['Adaptation:', 'Summary:']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,TV,37
2,Shingeki no Kyojin,8.51,TV (25 eps),Apr 2013 - Sep 2013,"3,074,730",Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Koutetsujou no Kabaneri,"['Adaptation:', 'Side story:', 'Summary:', 'Other:', 'Alternative version:', 'Sequel:', 'Spin-off:']",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,25
3,Fullmetal Alchemist: Brotherhood,9.16,TV (64 eps),Apr 2009 - Jul 2010,"2,629,286",Bones,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Military', 'Shounen']",Manga,R - 17+ (violence & profanity),Hunter x Hunter (2011),"['Adaptation:', 'Alternative version:', 'Side story:', 'Spin-off:']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,64
4,Sword Art Online,7.21,TV (25 eps),Jul 2012 - Dec 2012,"2,544,004",A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Game']",Light novel,PG-13 - Teens 13 or older,Log Horizon,"['Adaptation:', 'Other:', 'Sequel:', 'Alternative version:']",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,25
5,One Punch Man,8.53,TV (12 eps),Oct 2015 - Dec 2015,"2,528,519",Madhouse,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural', 'Parody', 'Super Power']",Web manga,R - 17+ (violence & profanity),Mob Psycho 100,"['Adaptation:', 'Side story:', 'Sequel:', 'Summary:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
6,Boku no Hero Academia,8.0,TV (13 eps),Apr 2016 - Jun 2016,"2,369,749",Bones,"['Action', 'Comedy', 'School', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,One Punch Man,"['Adaptation:', 'Sequel:', 'Side story:', 'Summary:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,13
7,Tokyo Ghoul,7.8,TV (12 eps),Jul 2014 - Sep 2014,"2,268,540",Studio Pierrot,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Kiseijuu: Sei no Kakuritsu,"['Adaptation:', 'Sequel:', 'Spin-off:']",0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TV,12
8,Naruto,7.95,TV (220 eps),Oct 2002 - Feb 2007,"2,238,632",Studio Pierrot,"['Action', 'Adventure', 'Comedy', 'Martial Arts', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Black Clover,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,220
9,Kimi no Na wa.,8.9,Movie (1 eps),Aug 2016 - Aug 2016,"2,116,173",CoMix Wave Films,"['Drama', 'Romance', 'Supernatural', 'School']",Original,PG-13 - Teens 13 or older,Tenki no Ko,"['Adaptation:', 'Other:']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Movie,1
10,Hunter x Hunter (2011),9.06,TV (148 eps),Oct 2011 - Sep 2014,"2,100,373",Madhouse,"['Action', 'Adventure', 'Fantasy', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Fullmetal Alchemist: Brotherhood,"['Adaptation:', 'Alternative version:', 'Side story:']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,148
11,Steins;Gate,9.1,TV (24 eps),Apr 2011 - Sep 2011,"2,056,408",White Fox,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological']",Visual novel,PG-13 - Teens 13 or older,Boku dake ga Inai Machi,"['Adaptation:', 'Alternative setting:', 'Sequel:', 'Other:', 'Alternative version:']",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TV,24
12,Shingeki no Kyojin Season 2,8.49,TV (12 eps),Apr 2017 - Jun 2017,"2,032,515",Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Koutetsujou no Kabaneri,"['Adaptation:', 'Prequel:', 'Other:', 'Sequel:', 'Alternative version:', 'Summary:']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,12
13,Kimetsu no Yaiba,8.58,TV (26 eps),Apr 2019 - Sep 2019,"2,027,034",ufotable,"['Action', 'Supernatural', 'Demons', 'Historical', 'Shounen']",Manga,R - 17+ (violence & profanity),Jujutsu Kaisen (TV),"['Adaptation:', 'Sequel:', 'Other:']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TV,26
14,No Game No Life,8.14,TV (12 eps),Apr 2014 - Jun 2014,"1,994,440",Madhouse,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural', 'Ecchi', 'Game']",Light novel,PG-13 - Teens 13 or older,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,"['Adaptation:', 'Side story:', 'Prequel:']",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
15,Boku no Hero Academia 2nd Season,8.22,TV (25 eps),Apr 2017 - Sep 2017,"1,990,774",Bones,"['Action', 'Comedy', 'School', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Naruto,"['Adaptation:', 'Prequel:', 'Side story:', 'Sequel:']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,25
16,Naruto: Shippuuden,8.21,TV (500 eps),Feb 2007 - Mar 2017,"1,881,841",Studio Pierrot,"['Action', 'Adventure', 'Comedy', 'Martial Arts', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Bleach,"['Adaptation:', 'Prequel:', 'Side story:', 'Spin-off:', 'Other:', 'Sequel:']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,500
17,Code Geass: Hangyaku no Lelouch,8.71,TV (25 eps),Oct 2006 - Jul 2007,"1,825,634",Sunrise,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'School', 'Super Power']",Original,R - 17+ (violence & profanity),Death Note,"['Adaptation:', 'Side story:', 'Summary:', 'Sequel:', 'Alternative setting:', 'Spin-off:', 'Alternative version:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,TV,25
18,Toradora!,8.15,TV (25 eps),Oct 2008 - Mar 2009,"1,817,677",J.C.Staff,"['Comedy', 'Romance', 'Slice of Life', 'School']",Light novel,PG-13 - Teens 13 or older,Zero no Tsukaima,"['Adaptation:', 'Side story:', 'Summary:']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,25
19,Angel Beats!,8.1,TV (13 eps),Apr 2010 - Jun 2010,"1,779,396",P.A. Works,"['Action', 'Comedy', 'Drama', 'Supernatural', 'School']",Original,PG-13 - Teens 13 or older,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Adaptation:', 'Side story:']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,TV,13
20,Noragami,7.98,TV (12 eps),Jan 2014 - Mar 2014,"1,776,789",Bones,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",Manga,PG-13 - Teens 13 or older,Kamisama Hajimemashita,"['Adaptation:', 'Side story:', 'Sequel:', 'Other:']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
21,Re:Zero kara Hajimeru Isekai Seikatsu,8.26,TV (25 eps),Apr 2016 - Sep 2016,"1,755,907",White Fox,"['Drama', 'Fantasy', 'Suspense', 'Psychological']",Light novel,R - 17+ (violence & profanity),Steins;Gate,"['Adaptation:', 'Spin-off:', 'Side story:', 'Other:', 'Prequel:', 'Character:', 'Sequel:']",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TV,25
22,Shigatsu wa Kimi no Uso,8.69,TV (22 eps),Oct 2014 - Mar 2015,"1,746,527",A-1 Pictures,"['Drama', 'Romance', 'Music', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,3-gatsu no Lion,"['Adaptation:', 'Prequel:']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TV,22
23,Koe no Katachi,8.97,Movie (1 eps),Sep 2016 - Sep 2016,"1,735,823",Kyoto Animation,"['Drama', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Kimi no Na wa.,"['Adaptation:', 'Other:']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Movie,1
24,Mirai Nikki (TV),7.48,TV (26 eps),Oct 2011 - Apr 2012,"1,712,275",asread.,"['Action', 'Mystery', 'Supernatural', 'Suspense', 'Psychological', 'Shounen']",Manga,R+ - Mild Nudity,Deadman Wonderland,"['Adaptation:', 'Alternative version:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,TV,26
25,Boku no Hero Academia 3rd Season,8.15,TV (25 eps),Apr 2018 - Sep 2018,"1,693,847",Bones,"['Action', 'Comedy', 'School', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Ansatsu Kyoushitsu,"['Adaptation:', 'Prequel:', 'Side story:', 'Sequel:']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,25
26,Shingeki no Kyojin Season 3,8.62,TV (12 eps),Jul 2018 - Oct 2018,"1,674,132",Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Shinsekai yori,"['Adaptation:', 'Prequel:', 'Sequel:', 'Side story:', 'Summary:']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,12
27,Nanatsu no Taizai,7.77,TV (24 eps),Oct 2014 - Mar 2015,"1,673,523",A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Shounen']",Manga,PG-13 - Teens 13 or older,Akame ga Kill!,"['Adaptation:', 'Side story:', 'Sequel:', 'Summary:']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,24
28,Akame ga Kill!,7.48,TV (24 eps),Jul 2014 - Dec 2014,"1,672,212",White Fox,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen']",Manga,R - 17+ (violence & profanity),Nanatsu no Taizai,"['Adaptation:', 'Other:', 'Summary:']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,24
29,Boku dake ga Inai Machi,8.33,TV (12 eps),Jan 2016 - Mar 2016,"1,651,078",A-1 Pictures,"['Mystery', 'Supernatural', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Steins;Gate,"['Adaptation:', 'Summary:']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TV,12
30,One Piece,8.59,TV (? eps),Oct 1999 -,"1,649,094",Toei Animation,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Fairy Tail,"['Adaptation:', 'Side story:', 'Character:', 'Summary:', 'Alternative version:', 'Other:']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,?
31,Sword Art Online II,6.72,TV (24 eps),Jul 2014 - Dec 2014,"1,638,951",A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Game']",Light novel,PG-13 - Teens 13 or older,Log Horizon 2nd Season,"['Adaptation:', 'Prequel:', 'Summary:', 'Other:', 'Sequel:', 'Alternative setting:']",1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,24
32,Ao no Exorcist,7.54,TV (25 eps),Apr 2011 - Oct 2011,"1,609,747",A-1 Pictures,"['Action', 'Fantasy', 'Supernatural', 'Demons', 'Shounen']",Manga,PG-13 - Teens 13 or older,Soul Eater,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,25
33,Ansatsu Kyoushitsu,8.11,TV (22 eps),Jan 2015 - Jun 2015,"1,549,885",Lerche,"['Action', 'Comedy', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Great Teacher Onizuka,"['Adaptation:', 'Alternative version:', 'Prequel:', 'Sequel:', 'Other:', 'Summary:']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,22
34,Shingeki no Kyojin Season 3 Part 2,9.1,TV (10 eps),Apr 2019 - Jul 2019,"1,544,384",Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Koutetsujou no Kabaneri,"['Adaptation:', 'Prequel:', 'Sequel:', 'Summary:']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,10
35,Kono Subarashii Sekai ni Shukufuku wo!,8.14,TV (10 eps),Jan 2016 - Mar 2016,"1,535,598",Studio Deen,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural', 'Parody']",Light novel,PG-13 - Teens 13 or older,Re:Zero kara Hajimeru Isekai Seikatsu,"['Adaptation:', 'Side story:', 'Sequel:', 'Character:']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,10
36,Mob Psycho 100,8.48,TV (12 eps),Jul 2016 - Sep 2016,"1,532,371",Bones,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']",Web manga,PG-13 - Teens 13 or older,One Punch Man,"['Adaptation:', 'Summary:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
37,Haikyuu!!,8.47,TV (25 eps),Apr 2014 - Sep 2014,"1,504,751",Production I.G,"['Comedy', 'Drama', 'Sports', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Kuroko no Basket,"['Adaptation:', 'Side story:', 'Sequel:', 'Summary:', 'Other:']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,25
38,Yakusoku no Neverland,8.58,TV (12 eps),Jan 2019 - Mar 2019,"1,484,852",CloverWorks,"['Horror', 'Mystery', 'Sci-Fi', 'Suspense', 'Psychological', 'Shounen']",Manga,R - 17+ (violence & profanity),Shingeki no Kyojin,"['Adaptation:', 'Sequel:', 'Summary:']",0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TV,12
39,Fairy Tail,7.61,TV (175 eps),Oct 2009 - Mar 2013,"1,482,731",A-1 Pictures,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",Manga,PG-13 - Teens 13 or older,One Piece,"['Adaptation:', 'Character:', 'Side story:', 'Other:', 'Spin-off:', 'Sequel:']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,175
40,Bleach,7.81,TV (366 eps),Oct 2004 - Mar 2012,"1,483,586",Studio Pierrot,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Yuu☆Yuu☆Hakusho,"['Adaptation:', 'Side story:', 'Other:', 'Sequel:', 'Alternative setting:']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,366
41,Kiseijuu: Sei no Kakuritsu,8.37,TV (24 eps),Oct 2014 - Mar 2015,"1,477,295",Madhouse,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Tokyo Ghoul,['Adaptation:'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,TV,24
42,Sen to Chihiro no Kamikakushi,8.8,Movie (1 eps),Jul 2001 - Jul 2001,"1,464,061",Studio Ghibli,"['Adventure', 'Drama', 'Supernatural']",Original,PG - Children,Howl no Ugoku Shiro,[],0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Movie,1
43,Jujutsu Kaisen (TV),8.74,TV (24 eps),Oct 2020 - Mar 2021,"1,455,329",MAPPA,"['Action', 'Supernatural', 'Demons', 'School', 'Shounen']",Manga,R - 17+ (violence & profanity),Kimetsu no Yaiba,"['Adaptation:', 'Other:', 'Prequel:']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TV,24
44,Tokyo Ghoul √A,7.04,TV (12 eps),Jan 2015 - Mar 2015,"1,455,981",Studio Pierrot,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Kiseijuu: Sei no Kakuritsu,"['Adaptation:', 'Prequel:', 'Sequel:']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TV,12
45,Cowboy Bebop,8.77,TV (26 eps),Apr 1998 - Apr 1999,"1,449,651",Sunrise,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",Original,R - 17+ (violence & profanity),Samurai Champloo,"['Adaptation:', 'Side story:', 'Summary:']",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TV,26
46,Code Geass: Hangyaku no Lelouch R2,8.91,TV (25 eps),Apr 2008 - Sep 2008,"1,445,819",Sunrise,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']",Original,R - 17+ (violence & profanity),Death Note,"['Adaptation:', 'Prequel:', 'Side story:', 'Summary:', 'Alternative version:']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,TV,25
47,Kill la Kill,8.07,TV (24 eps),Oct 2013 - Mar 2014,"1,440,635",Trigger,"['Action', 'Comedy', 'Ecchi', 'School', 'Super Power']",Original,PG-13 - Teens 13 or older,Tengen Toppa Gurren Lagann,"['Adaptation:', 'Side story:', 'Character:']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,24
48,Death Parade,8.18,TV (12 eps),Jan 2015 - Mar 2015,"1,417,903",Madhouse,"['Drama', 'Mystery', 'Suspense', 'Game', 'Psychological']",Original,R - 17+ (violence & profanity),Death Note,['Alternative version:'],0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TV,12
49,Another,7.51,TV (12 eps),Jan 2012 - Mar 2012,"1,385,948",P.A. Works,"['Horror', 'Mystery', 'Supernatural', 'Suspense', 'School']",Light novel,R - 17+ (violence & profanity),Higurashi no Naku Koro ni,"['Adaptation:', 'Prequel:', 'Other:']",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TV,12
50,Neon Genesis Evangelion,8.33,TV (26 eps),Oct 1995 - Mar 1996,"1,384,748",Tatsunoko Production,"['Action', 'Avant Garde', 'Drama', 'Sci-Fi', 'Mecha', 'Psychological']",Original,PG-13 - Teens 13 or older,Mahou Shoujo Madoka★Magica,"['Adaptation:', 'Summary:', 'Sequel:', 'Alternative version:', 'Spin-off:', 'Other:', 'Character:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,TV,26
51,Soul Eater,7.85,TV (51 eps),Apr 2008 - Mar 2009,"1,366,060",Bones,"['Action', 'Comedy', 'Fantasy', 'Supernatural', 'Shounen']",Manga,PG-13 - Teens 13 or older,Ao no Exorcist,"['Adaptation:', 'Summary:', 'Spin-off:']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TV,51
52,Psycho-Pass,8.36,TV (22 eps),Oct 2012 - Mar 2013,"1,363,466",Production I.G,"['Action', 'Sci-Fi', 'Suspense', 'Police', 'Psychological']",Original,R - 17+ (violence & profanity),Death Note,"['Adaptation:', 'Other:', 'Sequel:']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,TV,22
53,Shokugeki no Souma,8.22,TV (24 eps),Apr 2015 - Sep 2015,"1,359,910",J.C.Staff,"['Gourmet', 'Ecchi', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Yakitate!! Japan,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,TV,24
54,Tengen Toppa Gurren Lagann,8.65,TV (27 eps),Apr 2007 - Sep 2007,"1,350,116",Gainax,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Mecha']",Original,PG-13 - Teens 13 or older,Kill la Kill,"['Adaptation:', 'Side story:', 'Alternative version:', 'Alternative setting:', 'Spin-off:', 'Character:']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,TV,27
55,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.36,TV (11 eps),Apr 2011 - Jun 2011,"1,348,109",A-1 Pictures,"['Drama', 'Slice of Life', 'Supernatural']",Original,PG-13 - Teens 13 or older,Angel Beats!,"['Adaptation:', 'Sequel:', 'Other:', 'Side story:', 'Alternative setting:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TV,11
56,Violet Evergarden,8.65,TV (13 eps),Jan 2018 - Apr 2018,"1,320,807",Kyoto Animation,"['Drama', 'Fantasy', 'Slice of Life']",Light novel,PG-13 - Teens 13 or older,Vivy: Fluorite Eye's Song,"['Adaptation:', 'Side story:', 'Sequel:', 'Other:', 'Summary:']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,13
